event-id,timestamp,location-long,location-lat,external-temperature,gps:dop,height-raw,sensor-type,tag-local-identifier,individual-local-identifier
9710472233,2013-04-12 10:15,-112.336243,56.560504,2.0,1.8,306.7,gps,32255,32255
9710326806,2013-03-24 14:50,-111.951859,56.985768,-4.0,3.6,367.63,gps,33670,33670
9710531057,2012-06-12 18:30,-112.039283,56.612024,13.0,1.6,456.02,gps,32270,32270
9710336050,2014-03-12 17:10,-112.230196,56.720155,13.0,1.8,473.85,gps,33678,33678B
9710400897,2012-04-17 03:15,-111.967707,57.228776,1.0,2.0,310.24,gps,32266,32266
9710426732,2013-06-22 01:30,-112.307101,56.563377,26.0,3.2,431.0,gps,33680,33680
9710479201,2014-02-21 23:40,-111.484134,57.723601,-13.0,1.8,239.16,gps,32254,32254
9710356250,2012-11-20 21:45,-111.276647,56.688643,1.0,1.8,207.51,gps,32260,32260
9710458104,2012-04-15 13:00,-111.884501,57.194029,-8.0,2.0,313.36,gps,32252,32252
9710479495,2014-02-24 00:40,-111.608449,57.716427,-15.0,3.8,274.36,gps,32254,32254
9710407586,2012-06-18 20:30,-111.573072,56.717112,21.0,2.2,382.91,gps,32267,32267
9710349901,2013-02-24 05:00,-111.419474,57.338593,13.0,1.8,262.43,gps,33668,32262_33668
9710312023,2014-02-23 19:10,-111.359601,56.746753,0.0,7.0,295.91,gps,13794,13794
9710423933,2013-04-13 22:00,-112.19262,56.634863,18.0,2.0,441.4,gps,33680,33680
9710335951,2014-03-12 00:40,-111.98321,56.750218,10.0,2.0,496.14,gps,33678,33678B
9710531515,2012-06-17 16:15,-111.913929,56.655682,19.0,2.0,454.88,gps,32270,32270
9710430929,2013-03-28 11:50,-111.182506,56.711236,4.0,1.6,355.5,gps,33671,33671
9710297438,2014-01-22 14:00,-111.930873,57.073777,-4.0,1.4,385.6,gps,13790,13790
9710327149,2012-12-21 04:00,-111.942589,56.855432,-4.0,2.0,470.58,gps,33678,32269_33678
9710316122,2014-03-24 07:50,-111.172494,56.871835,-4.0,2.2,342.13,gps,13794,13794
9710429919,2013-03-07 09:49,-111.184355,56.778747,-8.0,3.2,402.5,gps,33671,33671
9710516120,2013-03-11 23:50,-112.869218,56.017631,7.0,1.6,557.49,gps,33674,33674
9710426663,2013-06-21 08:15,-112.154411,56.599574,16.0,3.6,427.36,gps,33680,33680
9710496938,2013-04-13 19:15,-111.886195,57.016258,10.0,2.0,354.17,gps,32259,32259
9710505750,2013-01-25 15:20,-111.699276,56.6334,-7.0,2.0,408.61,gps,33672,33672
9710329964,2014-01-29 10:40,-112.090513,56.684535,-22.0,1.8,471.11,gps,33678,33678B
9710520102,2014-03-13 16:20,-112.826137,56.041747,4.0,2.0,558.12,gps,33674,33674
9710409145,2012-11-13 22:00,-111.523132,56.702785,5.0,1.8,353.84,gps,32267,32267
9710447626,2013-10-31 01:00,-111.499085,59.880868,15.0,5.4,194.37,gps,33679,33679
9710355476,2012-11-12 20:15,-111.146003,56.671845,5.0,1.6,226.1,gps,32260,32260
9710343120,2012-04-14 08:30,-112.311646,56.795662,8.0,3.6,452.92,gps,32269,32269_33678
9710397805,2013-07-20 04:01,-111.78225,57.447605,17.0,2.2,299.98,gps,32264,32264
